Ticker symbol
AAN
ACC
ACHC
ACIW
ACM
ADNT
AEO
AFG
AGCO
AHL
AKRX
ALE
ALEX
AMCX
AN
APY
ARRS
ARW
ASB
ASGN
ASH
ATGE
ATI
ATO
ATR
AVNS
AVT
AYI
BBBY
BC
BCO
BDC
BID
BIG
BIO
BKH
BLKB
BMS
BOH
BRO
BXS
BYD
CABO
CAKE
CAR
CARS
CASY
CATY
CBRL
CBSH
CBT
CC
CDK
CFR
CGNX
CHDN
CHE
CHFC
CHK
CIEN
CLB
CLGX
CLH
CLI
CMC
CMD
CMP
CNK
CNO
CNX
COHR
CONE
COR
CPE
CPT
CR
CREE
CRI
CRL
CRS
CRUS
CSL
CTLT
CUZ
CVLT
CW
CXW
CY
DAN
DCI
DDS
DECK
DEI
DKS
DLPH
DLX
DNB
DNKN
DNOW
DO
DPZ
DRQ
DY
EAT
EGN
EHC
EME
ENR
ENS
EPC
EPR
ERI
ESL
ESV
EV
EVR
EWBC
EXEL
EXP
FAF
FDS
FHN
FICO
FII
FIVE
FLO
FNB
FR
FSLR
FULT
GATX
GEF
GEO
GGG
GHC
GME
GMED
GNTX
GNW
GPOR
GVA
GWR
HAE
HAIN
HCSG
HE
HELE
HIW
HNI
HOMB
HPT
HQY
HR
HRC
HUBB
HWC
IART
IBKR
IBOC
ICUI
IDA
IDCC
IDTI
IEX
INGR
INT
ISCA
ITT
JACK
JBGS
JBL
JBLU
JCOM
JHG
JKHY
JLL
JW.A
KBH
KBR
KEX
KMPR
KMT
KNX
KRC
LAMR
LANC
LDOS
LECO
LFUS
LGND
LHO
LII
LITE
LIVN
LM
LOGM
LPNT
LPT
LPX
LSI
LSTR
LW
LYV
MAN
MANH
MASI
MBFI
MCY
MD
MDP
MDR
MDRX
MDSO
MDU
MIK
MKSI
MKTX
MLHR
MMS
MNK
MOH
MPW
MPWR
MSA
MSM
MTDR
MTX
MTZ
MUR
MUSA
NATI
NAVI
NBR
NCR
NDSN
NEU
NFG
NJR
NNN
NTCT
NUS
NUVA
NVR
NVT
NWE
NYCB
NYT
OAS
ODFL
ODP
OFC
OGE
OGS
OHI
OI
OII
OLLI
OLN
ORI
OSK
OZK
PACW
PB
PBF
PBH
PBI
PCH
PDCO
PENN
PII
PLT
PNFP
PNM
POL
POOL
POST
PRAH
PRI
PTC
PTEN
PZZA
QEP
R
RAMP
RBC
RDC
RGA
RGLD
RIG
RLGY
RNR
ROL
RPM
RRC
RS
RYN
SABR
SAFM
SAIC
SAM
SBH
SBNY
SBRA
SCI
SEIC
SF
SFM
SGMS
SIG
SIX
SKT
SKX
SLAB
SLGN
SLM
SM
SMG
SNH
SNV
SNX
SON
SPN
STE
STL
STLD
SWN
SWX
SXT
SYNA
SYNH
TCBI
TCF
TCO
TDC
TDS
TDY
TECD
TECH
TER
TEX
TFX
TGNA
THC
THG
THO
THS
TKR
TOL
TPH
TPX
TR
TREE
TRMB
TRMK
TRN
TTC
TUP
TXRH
TYL
UBSI
UE
UFS
UGI
ULTI
UMBF
UMPQ
UNFI
UNIT
URBN
UTHR
VAC
VC
VLY
VMI
VSAT
VSH
VSM
VVC
VVV
WAB
WAFD
WBS
WEN
WERN
WEX
WOR
WPX
WRB
WRI
WSM
WSO
WST
WTFC
WTR
WTW
WWD
WWE
WYND
X
Y
ZBRA
