III.L
ADM.L
AAL.L
ANTO.L
AHT.L
ABF.L
AZN.L
AV-.L
BA-.L
BARC.L
BDEV.L
BKG.L
BLT.L
BP-.L
BATS.L
BLND.L
BT-A.L
BNZL.L
BRBY.L
CCL.L
CNA.L
CCH.L
CPG.L
CRH.L
CRDA.L
DCC.L
DGE.L
DLG.L
EZJ.L
EVR.L
EXPN.L
FERG.L
FRES.L
GSK.L
GLEN.L
GVC.L
HLMA.L
HL-.L
HSBA.L
IMB.L
INF.L
IHG.L
IAG.L
ITRK.L
ITV.L
JMAT.L
JE-.L
KGF.L
LAND.L
LGEN.L
LLOY.L
LSE.L
MKS.L
MRO.L
MCRO.L
MNDI.L
MRW.L
NG-.L
NXT.L
NMC.L
OCDO.L
PPB.L
PSON.L
PSN.L
PRU.L
RRS.L
RB-.L
REL.L
RTO.L
RIO.L
RMV.L
RR-.L
RBS.L
RDSA.L
RMG.L
RSA.L
SGE.L
SBRY.L
SDR.L
SMT.L
SGRO.L
SVT.L
SHP.L
SN-.L
SMDS.L
SMIN.L
SKG.L
SSE.L
STAN.L
SLA.L
STJ.L
TW-.L
TSCO.L
TUI.L
ULVR.L
UU-.L
VOD.L
WTB.L
WG-.L
WPP.L
